id,x,y,radius_px,area_px,circularity,color,source
0,350,1228,104.0,33979.4661412272,1.0,red,legacy
1,832,670,104.0,33979.4661412272,1.0,yellow,legacy
3,206,244,104.0,33979.4661412272,1.0,red,legacy
4,624,762,104.0,33979.4661412272,1.0,blue,legacy
5,140,500,104.0,33979.4661412272,1.0,blue,legacy
6,644,492,104.0,33979.4661412272,1.0,green,legacy
10,782,1000,103.0,33329.156461934115,1.0,orange,legacy
12,426,964,103.0,33329.156461934115,1.0,green,legacy
7,142,758,102.0,32685.129967948207,1.0,red,legacy
9,462,202,102.0,32685.129967948207,1.0,green,legacy
11,752,248,102.0,32685.129967948207,1.0,blue,legacy
13,176,1060,102.0,32685.129967948207,1.0,orange,legacy
2,406,466,101.0,32047.38665926948,1.0,yellow,legacy
8,610,1146,101.0,32047.38665926948,1.0,orange,legacy
14,368,734,80.0,20106.192982974677,1.0,yellow,legacy
